symbol,name,market,price,market_cap,listed_shares,per,pbr,eps,bps,volume,trading_value
041960,코미팜,KOSDAQ,8840.0,6532.0,73886495.0,-88.4,9.14,-100.0,967.0,321218.0,2857138100.0
042000,카페24,KOSDAQ,22400.0,5433.0,24253054.0,13.9,2.04,1611.0,10998.0,218543.0,4899256500.0
042040,케이피엠테크,KOSDAQ,1015.0,251.0,24709362.0,-1.35,0.36,-754.0,2848.0,165489.0,168682882.0
042110,에스씨디,KOSDAQ,1507.0,728.0,48329564.0,11.42,0.53,132.0,2824.0,716855.0,1081785751.0
042370,비츠로테크,KOSDAQ,16890.0,4425.0,26200025.0,66.76,1.71,253.0,9877.0,995100.0,17087905605.0
042420,네오위즈홀딩스,KOSDAQ,19830.0,1615.0,8142283.0,5.03,0.35,3946.0,56817.0,18996.0,374444885.0
042500,링네트,KOSDAQ,5280.0,1177.0,22291144.0,10.8,0.9,489.0,5842.0,951567.0,5068155605.0
042510,라온시큐어,KOSDAQ,13120.0,1470.0,11205174.0,43.44,2.64,302.0,4975.0,737350.0,9786836300.0
042520,한스바이오메드,KOSDAQ,23600.0,3366.0,14261367.0,-10.19,9.09,-2317.0,2595.0,275705.0,6437110675.0
042600,새로닉스,KOSDAQ,19670.0,2444.0,12423574.0,-7.74,2.7,-2540.0,7276.0,116633.0,2302765095.0
042940,상지건설,KOSDAQ,9200.0,628.0,6828712.0,-4.07,0.63,-2263.0,14581.0,203859.0,1896337425.0
043090,더 테크놀로지,KOSDAQ,1140.0,47.0,4139425.0,-0.33,0.29,-3427.0,3951.0,0.0,0.0
043100,알파에이아이,KOSDAQ,520.0,105.0,20110080.0,-1.52,0.34,-343.0,1540.0,0.0,0.0
043150,바텍,KOSDAQ,22050.0,3275.0,14854256.0,8.16,0.66,2701.0,33371.0,144479.0,3305481800.0
043200,파루,KOSDAQ,921.0,385.0,41804315.0,-9.4,1.6,-98.0,574.0,400415.0,374569894.0
043220,티에스넥스젠,KOSDAQ,1710.0,272.0,15922416.0,-0.71,1.55,-2424.0,1100.0,0.0,0.0
043260,성호전자,KOSDAQ,47700.0,33830.0,70922823.0,35.57,13.49,1341.0,3536.0,2370176.0,111965578625.0
043340,에쎈테크,KOSDAQ,549.0,522.0,95000000.0,-17.71,2.04,-31.0,269.0,0.0,0.0
043360,디지아이,KOSDAQ,2750.0,248.0,9000000.0,-13.03,0.6,-211.0,4603.0,40214.0,106988765.0
043370,피에이치에이,KOSDAQ,12730.0,2673.0,21000000.0,5.78,0.29,2204.0,43257.0,59508.0,760851765.0
043590,웰킵스하이텍,KOSDAQ,795.0,216.0,27136762.0,-6.68,0.61,-119.0,1305.0,0.0,0.0
043610,케이티지니뮤직,KOSDAQ,1671.0,971.0,58115438.0,-3.53,0.68,-474.0,2474.0,253838.0,428788514.0
043650,국순당,KOSDAQ,4010.0,716.0,17858304.0,11.46,0.27,350.0,15068.0,62049.0,247013554.0
043710,서울리거,KOSDAQ,3980.0,689.0,17312502.0,-7.8,1.93,-510.0,2064.0,10203.0,40866885.0
043910,자연과 환경,KOSDAQ,493.0,559.0,113391457.0,-8.5,0.68,-58.0,730.0,0.0,0.0
044180,KD,KOSDAQ,205.0,55.0,26717799.0,-0.21,0.39,-958.0,528.0,0.0,0.0
044340,위닉스,KOSDAQ,4880.0,872.0,17873425.0,-4.76,0.53,-1026.0,9241.0,68000.0,328934875.0
044480,빌리언스,KOSDAQ,1371.0,456.0,33250916.0,-2.1,0.9,-654.0,1520.0,5119193.0,7092215332.0
044490,태웅,KOSDAQ,46200.0,9243.0,20007381.0,37.44,1.53,1234.0,30212.0,329209.0,15501660325.0
044780,에이치케이,KOSDAQ,1538.0,285.0,18505787.0,6.23,0.45,247.0,3438.0,414042.0,644871524.0
044960,이글벳,KOSDAQ,3860.0,488.0,12641883.0,0.0,0.0,0.0,0.0,1510896.0,6087772844.0
044990,에이치엔에스하이텍,KOSDAQ,16600.0,1276.0,7685425.0,14.91,1.16,1113.0,14317.0,144912.0,2474839265.0
045060,오공,KOSDAQ,2310.0,391.0,16941974.0,7.02,0.32,329.0,7198.0,62938.0,145997530.0
045100,한양이엔지,KOSDAQ,33100.0,5793.0,17500000.0,14.27,0.86,2320.0,38303.0,215708.0,7160866200.0
045300,성우테크론,KOSDAQ,3310.0,349.0,10547012.0,7.37,0.45,449.0,7300.0,81513.0,269988834.0
045340,토탈소프트뱅크,KOSDAQ,6990.0,598.0,8558040.0,9.8,2.18,713.0,3207.0,85327.0,590629775.0
045390,대아티아이,KOSDAQ,4150.0,2925.0,70473377.0,14.31,1.9,290.0,2189.0,2181000.0,9003011304.0
045510,정원엔시스,KOSDAQ,1053.0,339.0,32209292.0,30.09,0.73,35.0,1433.0,423461.0,458859430.0
045520,크린앤사이언스,KOSDAQ,3010.0,196.0,6500000.0,-5.8,1.09,-519.0,2757.0,10905.0,32856945.0
045660,에이텍,KOSDAQ,9180.0,758.0,8260000.0,161.05,0.69,57.0,13373.0,86396.0,797514115.0
045970,코아시아,KOSDAQ,5230.0,1376.0,26314876.0,-9.81,1.67,-533.0,3125.0,252277.0,1346527335.0
046070,코다코,KOSDAQ,10280.0,1592.0,15486089.0,-25.01,11.62,-411.0,885.0,0.0,0.0
046120,오르비텍,KOSDAQ,10270.0,3477.0,33855433.0,354.14,4.5,29.0,2282.0,965314.0,10001736335.0
046210,에이치엘비파나진,KOSDAQ,1879.0,855.0,45527960.0,-26.84,1.18,-70.0,1591.0,235758.0,442979664.0
046310,백금티앤에이,KOSDAQ,2890.0,474.0,16418641.0,11.2,0.64,258.0,4544.0,153495.0,441691805.0
046390,삼화네트웍스,KOSDAQ,991.0,428.0,43172933.0,-49.55,0.67,-20.0,1489.0,0.0,0.0
046440,케이지모빌리언스,KOSDAQ,4640.0,1764.0,38010802.0,7.62,0.47,609.0,9858.0,137664.0,647957545.0
046890,서울반도체,KOSDAQ,16490.0,9615.0,58305400.0,-18.7,1.5,-882.0,10993.0,2366127.0,38924504575.0
046940,우원개발,KOSDAQ,5500.0,994.0,18074350.0,2.07,0.63,2654.0,8672.0,471110.0,2589688955.0
046970,우리로,KOSDAQ,9310.0,4080.0,43824999.0,-517.22,10.31,-18.0,903.0,5330862.0,50919674870.0
047080,한빛소프트,KOSDAQ,1273.0,316.0,24822362.0,6.06,1.83,210.0,696.0,149123.0,190231382.0
047310,파워로직스,KOSDAQ,4965.0,1818.0,36610755.0,-14.73,0.92,-337.0,5394.0,435365.0,2216439200.0
047560,이스트소프트,KOSDAQ,12930.0,1518.0,11738182.0,-8.51,2.68,-1520.0,4825.0,83360.0,1099469130.0
047770,코데즈컴바인,KOSDAQ,4040.0,1529.0,37842602.0,34.53,2.18,117.0,1855.0,3398319.0,13565015908.0
047820,초록뱀미디어,KOSDAQ,5450.0,1333.0,24453930.0,47.39,0.49,115.0,11069.0,144405.0,773213915.0
047920,에이치엘비제약,KOSDAQ,16080.0,5274.0,32799356.0,114.04,4.21,141.0,3816.0,123973.0,1992844915.0
048410,현대바이오사이언스,KOSDAQ,13140.0,12681.0,96505572.0,-55.91,11.4,-235.0,1153.0,3073028.0,40314113045.0
048430,유라테크,KOSDAQ,7430.0,856.0,11520000.0,7.76,0.55,958.0,13417.0,109752.0,831483335.0
048470,대동스틸,KOSDAQ,3270.0,316.0,9650000.0,72.67,0.45,45.0,7292.0,171686.0,567487790.0
048530,인트론바이오테크놀로지,KOSDAQ,3255.0,1006.0,30891758.0,-12.42,1.47,-262.0,2210.0,268629.0,879850009.0
048550,에스엠컬처앤콘텐츠,KOSDAQ,1004.0,971.0,96714620.0,-45.64,1.19,-22.0,843.0,305672.0,311265598.0
048770,티피씨메카트로닉스,KOSDAQ,5550.0,871.0,15697991.0,-34.05,2.4,-163.0,2317.0,9389740.0,50132473773.0
048830,엔피케이,KOSDAQ,1110.0,208.0,18723923.0,18.5,0.45,60.0,2473.0,126548.0,140284436.0
048870,시너지이노베이션,KOSDAQ,1938.0,1708.0,88106963.0,55.37,0.81,35.0,2401.0,318556.0,614875875.0
048910,대원미디어,KOSDAQ,6890.0,867.0,12578946.0,15.77,0.82,437.0,8448.0,95860.0,663591000.0
049070,인탑스,KOSDAQ,21300.0,3664.0,17200000.0,22.61,0.51,942.0,42138.0,1350732.0,29363593005.0
049080,기가레인,KOSDAQ,1977.0,1678.0,84883347.0,-15.82,4.06,-125.0,487.0,6462388.0,12892513717.0
049120,파인디앤씨,KOSDAQ,2970.0,315.0,10601663.0,-1.4,0.61,-2114.0,4907.0,133107.0,409630221.0
049180,셀루메드,KOSDAQ,1009.0,839.0,83200014.0,-24.61,6.59,-41.0,153.0,0.0,0.0
049430,코메론,KOSDAQ,18300.0,1656.0,9048000.0,7.34,0.65,2493.0,28066.0,46418.0,847554445.0
049470,비트플래닛,KOSDAQ,672.0,791.0,117724498.0,-35.37,1.06,-19.0,631.0,0.0,0.0
049480,오픈베이스,KOSDAQ,2890.0,908.0,31422383.0,12.51,0.92,231.0,3142.0,1324757.0,3907862176.0
049520,유아이엘,KOSDAQ,3865.0,1192.0,30842625.0,5.55,0.6,696.0,6453.0,202886.0,784034438.0
049550,잉크테크,KOSDAQ,3440.0,674.0,19606277.0,26.88,0.86,128.0,3991.0,37090.0,129682210.0
049630,재영솔루텍,KOSDAQ,13000.0,3039.0,23379512.0,29.48,2.97,441.0,4372.0,884307.0,11688464700.0
049720,고려신용정보,KOSDAQ,9940.0,1421.0,14300000.0,10.72,2.26,927.0,4407.0,107167.0,1064661885.0
049830,승일,KOSDAQ,7060.0,433.0,6132112.0,11.83,0.29,597.0,24472.0,8992.0,64401480.0
049950,미래컴퍼니,KOSDAQ,15140.0,1335.0,8817884.0,-5.34,1.18,-2835.0,12792.0,85476.0,1303861355.0
049960,쎌바이오텍,KOSDAQ,16890.0,1588.0,9400000.0,15.68,0.88,1077.0,19234.0,34745.0,579397870.0
050090,비케이홀딩스,KOSDAQ,710.0,140.0,19784735.0,-6.96,0.87,-102.0,817.0,89802.0,63694636.0
050110,캠시스,KOSDAQ,1910.0,558.0,29224823.0,-1.54,0.49,-1237.0,3875.0,2311469.0,4631795725.0
050120,ES큐브,KOSDAQ,2835.0,385.0,13564086.0,-18.77,0.42,-151.0,6819.0,23575.0,66663155.0
050760,에스폴리텍,KOSDAQ,1250.0,204.0,16334678.0,-2.32,0.34,-538.0,3653.0,138250.0,177015261.0
050860,아세아텍,KOSDAQ,2010.0,452.0,22500000.0,16.34,0.33,123.0,6179.0,190285.0,383558592.0
050890,쏠리드,KOSDAQ,17400.0,10572.0,60756534.0,29.15,2.96,597.0,5886.0,6068012.0,106262792190.0
050960,수산아이앤티,KOSDAQ,9200.0,621.0,6751000.0,0.0,0.0,0.0,0.0,24828.0,224678530.0
051160,지어소프트,KOSDAQ,7200.0,1114.0,15474430.0,8.82,0.67,816.0,10737.0,55575.0,395745245.0
051360,토비스,KOSDAQ,18830.0,2809.0,14917843.0,7.0,1.01,2691.0,18607.0,89466.0,1682515295.0
051370,인터플렉스,KOSDAQ,12240.0,2855.0,23327472.0,8.68,0.92,1410.0,13306.0,224568.0,2752869890.0
051380,피씨디렉트,KOSDAQ,2250.0,345.0,15340072.0,-52.33,0.85,-43.0,2653.0,137436.0,311364375.0
051390,와이더블유,KOSDAQ,4570.0,519.0,11355368.0,10.22,0.43,447.0,10506.0,26700.0,119698639.0
051490,나라엠앤디,KOSDAQ,3565.0,506.0,14200000.0,9.61,0.45,371.0,7899.0,110688.0,397780350.0
051500,씨제이프레시웨이,KOSDAQ,25400.0,3015.0,11871586.0,6.02,0.66,4221.0,38342.0,57209.0,1458060600.0
051780,큐로홀딩스,KOSDAQ,6140.0,317.0,5162249.0,-2.89,1.68,-2123.0,3661.0,713347.0,4259902200.0
051980,중앙첨단소재,KOSDAQ,1770.0,1966.0,111091709.0,-33.4,1.89,-53.0,936.0,2367074.0,4210992955.0
052020,에스티큐브,KOSDAQ,19930.0,13549.0,67983291.0,-62.09,18.77,-321.0,1062.0,597109.0,11447812155.0
052220,아이엠비씨,KOSDAQ,2820.0,649.0,23000000.0,-12.1,1.17,-233.0,2413.0,213986.0,611239924.0
052260,현대바이오랜드,KOSDAQ,4240.0,1272.0,30000000.0,530.0,0.93,8.0,4538.0,114298.0,486646031.0
052300,오션인더블유,KOSDAQ,1741.0,283.0,16244128.0,-1.54,0.11,-1132.0,16246.0,0.0,0.0
052330,코텍,KOSDAQ,12370.0,2197.0,17761589.0,7.47,0.44,1655.0,27942.0,158283.0,1968953630.0
052400,코나아이,KOSDAQ,59700.0,8694.0,14563291.0,11.68,3.32,5110.0,17996.0,255214.0,15139299350.0
052420,오성첨단소재,KOSDAQ,1448.0,1411.0,97420096.0,4.07,0.47,356.0,3091.0,0.0,0.0
052460,아이크래프트,KOSDAQ,3500.0,511.0,14607936.0,5.04,0.91,695.0,3826.0,1824834.0,6357229507.0
052600,한네트,KOSDAQ,3720.0,430.0,11563700.0,0.0,0.0,0.0,0.0,74057.0,278566811.0
052710,아모텍,KOSDAQ,20300.0,2967.0,14615109.0,37.45,1.9,542.0,10688.0,861545.0,17404174940.0
052770,아이톡시,KOSDAQ,312.0,45.0,14568774.0,-0.21,0.69,-1459.0,451.0,0.0,0.0
052790,액토즈소프트,KOSDAQ,5150.0,563.0,10924547.0,1.84,0.22,2795.0,23519.0,85350.0,437995560.0
052860,아이앤씨테크놀로지,KOSDAQ,6900.0,1233.0,17862854.0,26.95,3.22,256.0,2140.0,105397.0,729010265.0
052900,케이엑스하이텍,KOSDAQ,1486.0,1032.0,69481232.0,18.57,0.7,80.0,2108.0,30243500.0,47106776293.0
053030,바이넥스,KOSDAQ,10260.0,3353.0,32684188.0,-103.64,1.74,-99.0,5881.0,218974.0,2241126645.0
053050,지에스이,KOSDAQ,2370.0,711.0,29987597.0,0.0,0.0,0.0,0.0,1023262.0,2490098628.0
053060,세동,KOSDAQ,1359.0,240.0,17657419.0,4.08,0.6,333.0,2282.0,336384.0,464748255.0
053080,케이엔솔,KOSDAQ,14590.0,1897.0,12999807.0,-3.5,1.53,-4174.0,9562.0,707937.0,10566324615.0
053160,프리엠스,KOSDAQ,8330.0,500.0,6000000.0,55.53,0.63,150.0,13288.0,31185.0,262180575.0
053260,금강철강,KOSDAQ,5660.0,1060.0,18720000.0,-1886.67,0.7,-3.0,8115.0,503134.0,2901701670.0
