종목코드,종목명,종가,대비,등락률,상장시가총액,지수명
197140,디지캡,2040,5,0.25,26547.0,KRX TMI
198080,캐프,3050,-10,-0.33,65682.0,KRX TMI
198440,강동씨앤엘,1145,-50,-4.18,69767.0,KRX TMI
198940,한주라이트메탈,861,0,0.0,33513.0,KRX TMI
199430,케이엔알시스템,25400,-500,-1.93,283059.0,KRX TMI
199480,뱅크웨어글로벌,5040,-60,-1.18,51391.0,KRX TMI
199550,레이저옵텍,5500,70,1.29,67462.0,KRX TMI
199730,바이오인프라,4145,-35,-0.84,20163.0,KRX TMI
200230,텔콘RF제약,626,-2,-0.32,44774.0,KRX TMI
200350,아티스트스튜디오,5550,30,0.54,55478.0,KRX TMI
200780,비씨월드제약,4410,-35,-0.79,47036.0,KRX TMI
201490,미투온,3185,15,0.47,103811.0,KRX TMI
203400,에이비온,2615,-125,-4.56,235615.0,KRX TMI
203450,유니온바이오메트릭스,3215,-25,-0.77,45264.0,KRX TMI
203650,드림시큐리티,2890,150,5.47,276379.0,KRX TMI
204020,그리티,2340,-15,-0.64,45515.0,KRX TMI
204610,티쓰리,3450,-65,-1.85,189756.0,KRX TMI
204840,지엘팜텍,1034,-11,-1.05,80186.0,KRX TMI
205100,엑셈,1975,18,0.92,139606.0,KRX TMI
205470,휴마시스,801,0,0.0,103629.0,KRX TMI
205500,넥써쓰,1810,-75,-3.98,116043.0,KRX TMI
206400,베노티앤알,1298,10,0.78,48688.0,KRX TMI
206560,덱스터,2600,-110,-4.06,66071.0,KRX TMI
206640,바디텍메드,11550,-140,-1.2,253036.0,KRX TMI
207760,미스터블루,1003,-22,-2.15,83329.0,KRX TMI
208140,정다운,2540,0,0.0,83018.0,KRX TMI
208350,지란지교시큐리티,3385,0,0.0,27424.0,KRX TMI
208370,셀바스헬스케어,4250,-90,-2.07,109397.0,KRX TMI
208640,썸에이지,196,0,0.0,27291.0,KRX TMI
208710,포톤,2700,5,0.19,35586.0,KRX TMI
208860,다산디엠씨,1301,-31,-2.33,44169.0,KRX TMI
209640,와이제이링크,8670,530,6.51,246602.0,KRX TMI
210120,캔버스엔,1453,7,0.48,35217.0,KRX TMI
211270,AP위성,17490,880,5.3,263789.0,KRX TMI
212560,네오오토,8360,20,0.24,98750.0,KRX TMI
212710,아이에스티이,9620,490,5.37,92573.0,KRX TMI
214180,헥토이노베이션,20800,200,0.97,270262.0,KRX TMI
214260,라파스,9250,-250,-2.63,82533.0,KRX TMI
214270,FSN,2020,-30,-1.46,90365.0,KRX TMI
214680,디알텍,1846,-54,-2.84,154099.0,KRX TMI
215090,솔디펜스,2955,-45,-1.5,68425.0,KRX TMI
215100,로보로보,7700,-110,-1.41,156683.0,KRX TMI
215360,우리산업,9440,100,1.07,86208.0,KRX TMI
215380,우정바이오,2875,-15,-0.52,48385.0,KRX TMI
215480,토박스코리아,2235,-5,-0.22,20517.0,KRX TMI
215790,이노인스트루먼트,1610,14,0.88,64856.0,KRX TMI
216050,인크로스,6730,-80,-1.17,86435.0,KRX TMI
216080,제테마,6990,-40,-0.57,260092.0,KRX TMI
217190,제너셈,9180,1290,16.35,120752.0,KRX TMI
217270,넵튠,3960,-105,-2.58,185073.0,KRX TMI
217330,싸이토젠,6160,260,4.41,142478.0,KRX TMI
217500,러셀,2865,30,1.06,91141.0,KRX TMI
217820,원익피앤이,4225,250,6.29,200496.0,KRX TMI
218150,미래생명자원,3255,-30,-0.91,66453.0,KRX TMI
219420,링크제니시스,5110,30,0.59,58609.0,KRX TMI
219750,한국비티비,805,-1,-0.12,52669.0,KRX TMI
220180,핸디소프트,1922,-33,-1.69,45995.0,KRX TMI
220260,켐트로스,6070,90,1.51,194677.0,KRX TMI
221800,지구홀딩스,17200,-1050,-5.75,279199.0,KRX TMI
221980,케이디켐,10400,-30,-0.29,41962.0,KRX TMI
222040,코스맥스엔비티,5100,-70,-1.35,105203.0,KRX TMI
222110,팬젠,5760,-190,-3.19,77727.0,KRX TMI
222420,쎄노텍,1680,98,6.19,81283.0,KRX TMI
222980,한국맥널티,2600,-20,-0.76,28682.0,KRX TMI
223250,드림씨아이에스,4885,-65,-1.31,120173.0,KRX TMI
223310,사토시홀딩스,2275,0,0.0,59203.0,KRX TMI
224110,에이텍모빌리티,9180,-200,-2.13,46638.0,KRX TMI
225190,LK삼양,2190,40,1.86,154326.0,KRX TMI
225220,제놀루션,1870,-18,-0.95,35885.0,KRX TMI
225430,케이엠제약,517,0,0.0,14418.0,KRX TMI
225530,HC보광산업,3500,-380,-9.79,127186.0,KRX TMI
225590,패션플랫폼,950,0,0.0,24327.0,KRX TMI
226330,신테카바이오,3180,10,0.32,77142.0,KRX TMI
226340,본느,647,0,0.0,27143.0,KRX TMI
226400,오스테오닉,6610,-20,-0.3,136573.0,KRX TMI
227610,아우딘퓨쳐스,794,0,0.0,30210.0,KRX TMI
227950,엔투텍,503,0,0.0,86788.0,KRX TMI
228340,동양파일,2180,-5,-0.23,43600.0,KRX TMI
228670,레이,8580,-230,-2.61,134191.0,KRX TMI
228850,레이언스,6170,-20,-0.32,102367.0,KRX TMI
229000,젠큐릭스,2270,-70,-2.99,53182.0,KRX TMI
232680,라온로보틱스,17210,570,3.43,225725.0,KRX TMI
232830,아이티센피엔에스,4615,590,14.66,76303.0,KRX TMI
234030,싸이닉솔루션,7380,110,1.51,174205.0,KRX TMI
234100,폴라리스세원,1020,0,0.0,74468.0,KRX TMI
234300,에스트래픽,3745,-100,-2.6,101893.0,KRX TMI
234690,녹십자웰빙,12690,-140,-1.09,227954.0,KRX TMI
235980,메드팩토,5250,130,2.54,179944.0,KRX TMI
236810,엔비티,1954,-11,-0.56,33170.0,KRX TMI
237750,피앤씨테크,6910,730,11.81,44892.0,KRX TMI
237820,플레이디,4600,-90,-1.92,59005.0,KRX TMI
237880,클리오,13220,-70,-0.53,238903.0,KRX TMI
238090,앤디포스,3130,-180,-5.44,95435.0,KRX TMI
238120,얼라인드,4385,70,1.62,63051.0,KRX TMI
